"Real rent increase dwellings; social and other landlords";;;
Type of rental;Periods;real_rent_inc;real_rent_excl
"Total; regulated";2021;-1.1;-1.5
"Total; regulated";2022;0.3;-0.1
"Total; regulated";2023;-8.7;-9.2
"Total; regulated";2024;1.1;0.5
"Total; regulated";2025;1.9;1.3
"Social landlords; regulated";2021;-1.1;-1.5
"Social landlords; regulated";2022;0.3;-0.1
"Social landlords; regulated";2023;-9.6;-10.0
"Social landlords; regulated";2024;1.1;0.4
"Social landlords; regulated";2025;2.0;1.3
"Other landlords; regulated";2021;-1.1;-1.2
"Other landlords; regulated";2022;0.5;0.1
"Other landlords; regulated";2023;-6.0;-6.7
"Other landlords; regulated";2024;1.2;0.7
"Other landlords; regulated";2025;1.6;1.2
